title,text,href
sklearn.base,sklearn.base,#module-sklearn.base
sklearn.base.BaseEstimator,base.BaseEstimator,generated/sklearn.base.BaseEstimator.html#sklearn.base.BaseEstimator
sklearn.base.BiclusterMixin,base.BiclusterMixin,generated/sklearn.base.BiclusterMixin.html#sklearn.base.BiclusterMixin
sklearn.base.ClassifierMixin,base.ClassifierMixin,generated/sklearn.base.ClassifierMixin.html#sklearn.base.ClassifierMixin
sklearn.base.ClusterMixin,base.ClusterMixin,generated/sklearn.base.ClusterMixin.html#sklearn.base.ClusterMixin
sklearn.base.DensityMixin,base.DensityMixin,generated/sklearn.base.DensityMixin.html#sklearn.base.DensityMixin
sklearn.base.RegressorMixin,base.RegressorMixin,generated/sklearn.base.RegressorMixin.html#sklearn.base.RegressorMixin
sklearn.base.TransformerMixin,base.TransformerMixin,generated/sklearn.base.TransformerMixin.html#sklearn.base.TransformerMixin
sklearn.feature_selection.SelectorMixin,feature_selection.SelectorMixin,generated/sklearn.feature_selection.SelectorMixin.html#sklearn.feature_selection.SelectorMixin
sklearn.base.clone,base.clone,generated/sklearn.base.clone.html#sklearn.base.clone
sklearn.base.is_classifier,base.is_classifier,generated/sklearn.base.is_classifier.html#sklearn.base.is_classifier
sklearn.base.is_regressor,base.is_regressor,generated/sklearn.base.is_regressor.html#sklearn.base.is_regressor
sklearn.config_context,config_context,generated/sklearn.config_context.html#sklearn.config_context
sklearn.get_config,get_config,generated/sklearn.get_config.html#sklearn.get_config
sklearn.set_config,set_config,generated/sklearn.set_config.html#sklearn.set_config
sklearn.set_config,set_config,generated/sklearn.set_config.html#sklearn.set_config
sklearn.show_versions,show_versions,generated/sklearn.show_versions.html#sklearn.show_versions
sklearn.calibration,sklearn.calibration,#module-sklearn.calibration
sklearn.calibration.CalibratedClassifierCV,calibration.CalibratedClassifierCV,generated/sklearn.calibration.CalibratedClassifierCV.html#sklearn.calibration.CalibratedClassifierCV
sklearn.calibration.calibration_curve,calibration.calibration_curve,generated/sklearn.calibration.calibration_curve.html#sklearn.calibration.calibration_curve
sklearn.cluster,sklearn.cluster,#module-sklearn.cluster
sklearn.cluster,sklearn.cluster,#module-sklearn.cluster
sklearn.cluster.AffinityPropagation,cluster.AffinityPropagation,generated/sklearn.cluster.AffinityPropagation.html#sklearn.cluster.AffinityPropagation
sklearn.cluster.AgglomerativeClustering,cluster.AgglomerativeClustering,generated/sklearn.cluster.AgglomerativeClustering.html#sklearn.cluster.AgglomerativeClustering
sklearn.cluster.Birch,cluster.Birch,generated/sklearn.cluster.Birch.html#sklearn.cluster.Birch
